Object,Property,Value,False,ObjectProperty
Object1,Property1,221718,"[515959, 526550, 706123, 729410, 995242, 857920, 835363, 744653, 795514, 503364, 852842, 951135, 797543, 819561, 950467, 987206, 578589, 960484, 971652, 779854]",Object1Property1
Object1,Property2,408887,"[940962, 747015, 615799, 987627, 759429, 910122, 609411, 992330, 808085, 790651, 552695, 916262, 633882, 914777, 549241, 974760, 626218, 513200, 929516, 545956]",Object1Property2
Object1,Property3,115423,"[903711, 780489, 864191, 893393, 525241, 643658, 916634, 789095, 803641, 866173, 730090, 605460, 517311, 532169, 856311, 890045, 646745, 582494, 890431, 551234]",Object1Property3
Object1,Property4,194721,"[546862, 811405, 823645, 529850, 644158, 945745, 912527, 695620, 844574, 904978, 983593, 640305, 920659, 961000, 542504, 753730, 532063, 590790, 512646, 773443]",Object1Property4
Object1,Property5,474875,"[898837, 699843, 876596, 500510, 960099, 776803, 885120, 548376, 658690, 977316, 709632, 588755, 980838, 705793, 548604, 940655, 986240, 976808, 727587, 639823]",Object1Property5
Object1,Property6,496064,"[954299, 546484, 880262, 528942, 747668, 516888, 503443, 944021, 851698, 974534, 848209, 883304, 806837, 779861, 947061, 925863, 627022, 550037, 752128, 954420]",Object1Property6
Object2,Property1,318976,"[674196, 895167, 786738, 992254, 751941, 704895, 539846, 619941, 879584, 778673, 815543, 684301, 550745, 798281, 890813, 598894, 624867, 903141, 766893, 729587]",Object2Property1
Object2,Property2,254466,"[841809, 792604, 827680, 794102, 805401, 966775, 803611, 799584, 999261, 552139, 599451, 633841, 906501, 820984, 828866, 799847, 902532, 626019, 741119, 731315]",Object2Property2
Object2,Property3,312866,"[671628, 599349, 853653, 590393, 657165, 534875, 557570, 929297, 889233, 987119, 900358, 795041, 723311, 506667, 541862, 750873, 621785, 651560, 524979, 804326]",Object2Property3
Object2,Property4,472931,"[908661, 502373, 600652, 568257, 622720, 556568, 995612, 593887, 989608, 850740, 877951, 806848, 927753, 736664, 858865, 975052, 976027, 811855, 828089, 975527]",Object2Property4
Object2,Property5,354509,"[734489, 652458, 758309, 528992, 615147, 573079, 894549, 863288, 761225, 766966, 630279, 725941, 679962, 977097, 623654, 643609, 923790, 901324, 642772, 526544]",Object2Property5
Object2,Property6,329511,"[747082, 732923, 866756, 710418, 631870, 840642, 913352, 563756, 895242, 982545, 930149, 892459, 870917, 921472, 654629, 543023, 724570, 691033, 961821, 686840]",Object2Property6
Object3,Property1,423757,"[921632, 875598, 864838, 756604, 975391, 644821, 604131, 551900, 973404, 662295, 580586, 752566, 686413, 759089, 932170, 569691, 999539, 786695, 627833, 987188]",Object3Property1
Object3,Property2,359101,"[787683, 898516, 576186, 576451, 828811, 671768, 673207, 765662, 790471, 845526, 643035, 896569, 620369, 581770, 502550, 803587, 627528, 628625, 989818, 510655]",Object3Property2
Object3,Property3,420505,"[764852, 646334, 949404, 757657, 681760, 543613, 709529, 524203, 857060, 945622, 608554, 741225, 643046, 517721, 913469, 898479, 816788, 777254, 744987, 790555]",Object3Property3
Object3,Property4,333033,"[933595, 769822, 687412, 928978, 930576, 678860, 716349, 532124, 655235, 762210, 765864, 848129, 811989, 989530, 589968, 882057, 614458, 546581, 706086, 525665]",Object3Property4
Object3,Property5,247218,"[514999, 654466, 625678, 827404, 598253, 722948, 851048, 918566, 771775, 806354, 517850, 986402, 952891, 776755, 671416, 650298, 991689, 617290, 605599, 949279]",Object3Property5
Object3,Property6,176954,"[633847, 523174, 730388, 644481, 988476, 781064, 789485, 552103, 826970, 719887, 527581, 649248, 552436, 976500, 861872, 566209, 800965, 591111, 924501, 511905]",Object3Property6
Object4,Property1,113054,"[787331, 841995, 937494, 711789, 831527, 887187, 769743, 685280, 952634, 959143, 816289, 548110, 842077, 979801, 826227, 515814, 866129, 802065, 648552, 704111]",Object4Property1
Object4,Property2,303257,"[514653, 925014, 728622, 501138, 505083, 527191, 669602, 953031, 654831, 687611, 719385, 696154, 833252, 630685, 823342, 651531, 927081, 778559, 966556, 642445]",Object4Property2
Object4,Property3,485122,"[678653, 847705, 733685, 894646, 649206, 618742, 974679, 506659, 608488, 833673, 952401, 583881, 789852, 707132, 930188, 832233, 985556, 910675, 706763, 647820]",Object4Property3
Object4,Property4,373164,"[920697, 694002, 673840, 853473, 519564, 906808, 548974, 878855, 949024, 771380, 888314, 743300, 502421, 690633, 546608, 686279, 589475, 894794, 617105, 705403]",Object4Property4
Object4,Property5,438393,"[812178, 708212, 568056, 814473, 564883, 740349, 925044, 859697, 861278, 588836, 838226, 515709, 732264, 596015, 652813, 705234, 840668, 599359, 857916, 512939]",Object4Property5
Object4,Property6,235310,"[543009, 855129, 895810, 780995, 612985, 808553, 786203, 612777, 913444, 998455, 828904, 927322, 754230, 609051, 506266, 676651, 519205, 677353, 520242, 541682]",Object4Property6
Object5,Property1,269385,"[544237, 997519, 885538, 984331, 625150, 503534, 608797, 984242, 632411, 946854, 768837, 585688, 692011, 601152, 927619, 569744, 941775, 824819, 527591, 614517]",Object5Property1
Object5,Property2,350655,"[504977, 621336, 570959, 818083, 696770, 666142, 711235, 700306, 795665, 809523, 849337, 656781, 511820, 594176, 884094, 702004, 941522, 965218, 961470, 653346]",Object5Property2
Object5,Property3,222186,"[796900, 929642, 568682, 516198, 845642, 604924, 913626, 757389, 500874, 741488, 691817, 773223, 731099, 713088, 517259, 919358, 737007, 759268, 663967, 957569]",Object5Property3
Object5,Property4,226534,"[900868, 761598, 627255, 843738, 507625, 513633, 810066, 766907, 685400, 513776, 836525, 982899, 945930, 734538, 654191, 553638, 660727, 711575, 586438, 897600]",Object5Property4
Object5,Property5,148017,"[662409, 902229, 785768, 567398, 921599, 540447, 676761, 588310, 775187, 932955, 721898, 678276, 758272, 631888, 559464, 941088, 616493, 546521, 738802, 712761]",Object5Property5
Object5,Property6,312425,"[948464, 796814, 941164, 969503, 612406, 838531, 606919, 625121, 592293, 858054, 566341, 726882, 921407, 505206, 882355, 522321, 788842, 964917, 837131, 823900]",Object5Property6
Object6,Property1,321649,"[716114, 629683, 610204, 814614, 807959, 907646, 560237, 975848, 689316, 566490, 747707, 627537, 868696, 878577, 783334, 945556, 928971, 983510, 693240, 575216]",Object6Property1
Object6,Property2,209213,"[596321, 981077, 607237, 839821, 555610, 645499, 983018, 515581, 888622, 927491, 511442, 733502, 609858, 824382, 668246, 623106, 637679, 760279, 553444, 790726]",Object6Property2
Object6,Property3,339666,"[649620, 930523, 554685, 673236, 830710, 544626, 664942, 905248, 888102, 680346, 849601, 610659, 973793, 944449, 952394, 992135, 595064, 709739, 906365, 692616]",Object6Property3
Object6,Property4,192650,"[937872, 853472, 646618, 595123, 679009, 733631, 666230, 851046, 580334, 539228, 522612, 593714, 579852, 617475, 992702, 652651, 814154, 704420, 590211, 504972]",Object6Property4
Object6,Property5,220663,"[848546, 851887, 738437, 912386, 514357, 746489, 987408, 901896, 599358, 886116, 557948, 902986, 754873, 865730, 659400, 662841, 807634, 564091, 740172, 742512]",Object6Property5
Object6,Property6,384699,"[640356, 583320, 963274, 743035, 713698, 628060, 733737, 679318, 770677, 807467, 940654, 698729, 979647, 746330, 786129, 587573, 856826, 524800, 514334, 908733]",Object6Property6
Object7,Property1,325763,"[500654, 809341, 994242, 952113, 804395, 829232, 824155, 788246, 619663, 507231, 868334, 951063, 644943, 913924, 598749, 822287, 505952, 976994, 899039, 657784]",Object7Property1
Object7,Property2,261799,"[923472, 757705, 653514, 604639, 827777, 836282, 695871, 671022, 905021, 727566, 845979, 563517, 747308, 745737, 996034, 679392, 734413, 919118, 722474, 645417]",Object7Property2
Object7,Property3,478438,"[895587, 600313, 657718, 677853, 907358, 976240, 946937, 503901, 503282, 882309, 729111, 870010, 987748, 982622, 882783, 575300, 728907, 717772, 901379, 600222]",Object7Property3
Object7,Property4,271974,"[767538, 724755, 734555, 779749, 637010, 928938, 815589, 975689, 589043, 898915, 804804, 814885, 770489, 676350, 933014, 703586, 751659, 645305, 772483, 788106]",Object7Property4
Object7,Property5,453677,"[577207, 647328, 703169, 623400, 922442, 864767, 911575, 612516, 635147, 862948, 916394, 695480, 792521, 831308, 974397, 568128, 569512, 809598, 861839, 715473]",Object7Property5
Object7,Property6,104077,"[658833, 936419, 643751, 512295, 548873, 668849, 796420, 574014, 820544, 633394, 866386, 679652, 574591, 582437, 751594, 951289, 899747, 669371, 559980, 880843]",Object7Property6
Object8,Property1,349321,"[864174, 623787, 903744, 904158, 691542, 861410, 642815, 961426, 690218, 634155, 691910, 533785, 744669, 609342, 892043, 931800, 625836, 838931, 899949, 881419]",Object8Property1
Object8,Property2,269691,"[765777, 773325, 530531, 841388, 731884, 709343, 563984, 780377, 589781, 629818, 915656, 957628, 567095, 956992, 802142, 854847, 815092, 599918, 627264, 771509]",Object8Property2
Object8,Property3,340793,"[627676, 996256, 877868, 828887, 881380, 601663, 930032, 794915, 724470, 663219, 658884, 619971, 830849, 996705, 924372, 605243, 953366, 513564, 735133, 673280]",Object8Property3
Object8,Property4,496781,"[962212, 799706, 832168, 858730, 836119, 894472, 863013, 551665, 603766, 967276, 935532, 984240, 501708, 665052, 967610, 870929, 654996, 569179, 614693, 724179]",Object8Property4
Object8,Property5,374873,"[526829, 923101, 754256, 825174, 555741, 657153, 697067, 502512, 789163, 920690, 656622, 700480, 871857, 944541, 594708, 751495, 966662, 886719, 629431, 867212]",Object8Property5
Object8,Property6,175702,"[737480, 536720, 664672, 696371, 863886, 937407, 680001, 521267, 783664, 645753, 899698, 960552, 932990, 517367, 644796, 750570, 607145, 626179, 737030, 737051]",Object8Property6
Object9,Property1,262597,"[625418, 890336, 805659, 754663, 998292, 592371, 585202, 963748, 563531, 818515, 535180, 938869, 997591, 720649, 560405, 840258, 999937, 715794, 729078, 504129]",Object9Property1
Object9,Property2,148476,"[942345, 999917, 804626, 527322, 907092, 714298, 658853, 957658, 655623, 746255, 668117, 952172, 909518, 815851, 607011, 639369, 589505, 530237, 987313, 648971]",Object9Property2
Object9,Property3,444223,"[850641, 850083, 915416, 833368, 831580, 614644, 856080, 763369, 506634, 763144, 973067, 772748, 990499, 577888, 699203, 523289, 747695, 570695, 660895, 791515]",Object9Property3
Object9,Property4,437835,"[602073, 622600, 824892, 867548, 625592, 604269, 804849, 706802, 585942, 615538, 560562, 999702, 810698, 591959, 512983, 960309, 683860, 735615, 994543, 927898]",Object9Property4
Object9,Property5,164236,"[893369, 736923, 576543, 766732, 659129, 644650, 635998, 800863, 551495, 854399, 532472, 723274, 996551, 919264, 517282, 928946, 865651, 791380, 755410, 653127]",Object9Property5
Object9,Property6,480448,"[865547, 816487, 967000, 552003, 953126, 567309, 618037, 548219, 539949, 875665, 517112, 799780, 787029, 865984, 743849, 925840, 815618, 948638, 662515, 684133]",Object9Property6
