Object,Property,Value,False,ObjectProperty
Object1,Property5,234041,"[572491, 839346, 613099, 919437, 652322, 594299, 718443, 807969, 778235, 801575]",Object1Property5
Object1,Property4,390161,"[585337, 722721, 514079, 742780, 660382, 520524, 960259, 867771, 929539, 598682]",Object1Property4
Object1,Property2,121848,"[532991, 602111, 715610, 716794, 818561, 728981, 789827, 682807, 706665, 593723]",Object1Property2
Object1,Property1,229155,"[934013, 997125, 892961, 713460, 575197, 982974, 735841, 564974, 658675, 610700]",Object1Property1
Object1,Property3,476627,"[921796, 548274, 821160, 929831, 979204, 568214, 614710, 909350, 583144, 940859]",Object1Property3
Object1,Property6,277527,"[779042, 827549, 624578, 538760, 713772, 914727, 862986, 565373, 745985, 585855]",Object1Property6
Object2,Property5,360789,"[702948, 523437, 993700, 598724, 916942, 791454, 926932, 834500, 864310, 949941]",Object2Property5
Object2,Property4,254473,"[511634, 567513, 852693, 607085, 868573, 551619, 582929, 548775, 568135, 732106]",Object2Property4
Object2,Property2,197552,"[810243, 784964, 517391, 904134, 685122, 713710, 837222, 626637, 876230, 533881]",Object2Property2
Object2,Property1,390316,"[715931, 721458, 857505, 714674, 849632, 528140, 643676, 647633, 946777, 855974]",Object2Property1
Object2,Property3,217264,"[738270, 992156, 702571, 873964, 573432, 570814, 798250, 503996, 839663, 650608]",Object2Property3
Object2,Property6,170941,"[510429, 852779, 565867, 709898, 659511, 989725, 518510, 518896, 798796, 977604]",Object2Property6
Object3,Property5,274376,"[558488, 958810, 779628, 639971, 639053, 862053, 623856, 818197, 858686, 853395]",Object3Property5
Object3,Property4,327145,"[638557, 858142, 675344, 799397, 918474, 908879, 738626, 936142, 689729, 799394]",Object3Property4
Object3,Property2,399502,"[868529, 995549, 547390, 901047, 790564, 968607, 793237, 572638, 599676, 859465]",Object3Property2
Object3,Property1,250331,"[626712, 998467, 802385, 727034, 696717, 541618, 651571, 649167, 512035, 596635]",Object3Property1
Object3,Property3,293465,"[924367, 691054, 780181, 939948, 847854, 958752, 581084, 685402, 576821, 903849]",Object3Property3
Object3,Property6,321083,"[772292, 580437, 849714, 774105, 828513, 854992, 615393, 861734, 901710, 715517]",Object3Property6
Object4,Property5,223567,"[536827, 919853, 985330, 765883, 522200, 667071, 962619, 856221, 898303, 648988]",Object4Property5
Object4,Property4,480109,"[607121, 561008, 826037, 504690, 689340, 763851, 832286, 669983, 849678, 724904]",Object4Property4
Object4,Property2,102066,"[589951, 842825, 568298, 743569, 831349, 969899, 971098, 521253, 546519, 975530]",Object4Property2
Object4,Property1,467422,"[608773, 732202, 609189, 729152, 984940, 984008, 992958, 616839, 768080, 516143]",Object4Property1
Object4,Property3,278921,"[917567, 884109, 521023, 689895, 657001, 794223, 517224, 795386, 745772, 711247]",Object4Property3
Object4,Property6,445397,"[671610, 989708, 690683, 964060, 910640, 612088, 595452, 503462, 574044, 942498]",Object4Property6
Object5,Property5,382661,"[701882, 528130, 671458, 778682, 934603, 652493, 758279, 872390, 817972, 683831]",Object5Property5
Object5,Property4,148982,"[947253, 964512, 995308, 729754, 967201, 909700, 575063, 749492, 767345, 703172]",Object5Property4
Object5,Property2,213723,"[779498, 908996, 870637, 806430, 880935, 620611, 899877, 529553, 577443, 714540]",Object5Property2
Object5,Property1,194230,"[935537, 690282, 627728, 960146, 503051, 713692, 637505, 829180, 797434, 629814]",Object5Property1
Object5,Property3,313049,"[825206, 598824, 665450, 807301, 879151, 546890, 964204, 957287, 831154, 889671]",Object5Property3
Object5,Property6,145901,"[705352, 642854, 619113, 630329, 867376, 908863, 560051, 672995, 794495, 500503]",Object5Property6
Object6,Property5,200963,"[791678, 612945, 545105, 603867, 941105, 704110, 500451, 967014, 920547, 954358]",Object6Property5
Object6,Property4,483684,"[813831, 644105, 803050, 877654, 977815, 735254, 585478, 577421, 563160, 584484]",Object6Property4
Object6,Property2,440888,"[767014, 910596, 986141, 660430, 702060, 553922, 757939, 596653, 742060, 837411]",Object6Property2
Object6,Property1,313515,"[842267, 822350, 637832, 523174, 790784, 936398, 549680, 505135, 805795, 830839]",Object6Property1
Object6,Property3,477023,"[568551, 592605, 703521, 568385, 901029, 775940, 738091, 529354, 641996, 545734]",Object6Property3
Object6,Property6,429438,"[684325, 844143, 722896, 920354, 935048, 945939, 984768, 623908, 574412, 508962]",Object6Property6
Object7,Property5,466115,"[597608, 874058, 768095, 522069, 924932, 872895, 786053, 701132, 948124, 946448]",Object7Property5
Object7,Property4,452410,"[776316, 588836, 772208, 987064, 926501, 704515, 744761, 534374, 821519, 855605]",Object7Property4
Object7,Property2,321110,"[969525, 864920, 965551, 994410, 543257, 612521, 681955, 889947, 649785, 947632]",Object7Property2
Object7,Property1,293714,"[740365, 851499, 588696, 903709, 567932, 567111, 758216, 950979, 606167, 568772]",Object7Property1
Object7,Property3,160372,"[528540, 862606, 939987, 854185, 687519, 818337, 939554, 884980, 721216, 720574]",Object7Property3
Object7,Property6,180617,"[955729, 649185, 975412, 883594, 763297, 820266, 683323, 870563, 574408, 525620]",Object7Property6
Object8,Property5,103934,"[888095, 813582, 860439, 916285, 991688, 990120, 687943, 829668, 515292, 912085]",Object8Property5
Object8,Property4,106281,"[562453, 525900, 618720, 804997, 776025, 540920, 735502, 556619, 504441, 933009]",Object8Property4
Object8,Property2,284462,"[657039, 642946, 939998, 858518, 956083, 525258, 658147, 527855, 674435, 710683]",Object8Property2
Object8,Property1,427789,"[523891, 733692, 797128, 821654, 511745, 866947, 943596, 696557, 576478, 683059]",Object8Property1
Object8,Property3,345722,"[645016, 825306, 729759, 568556, 722957, 538563, 819592, 771368, 915461, 661359]",Object8Property3
Object8,Property6,327006,"[669684, 820786, 541423, 827857, 892921, 794690, 706455, 812436, 979267, 773585]",Object8Property6
Object9,Property5,387265,"[921958, 958357, 980890, 895644, 645905, 606678, 595647, 849857, 604658, 979291]",Object9Property5
Object9,Property4,440981,"[693425, 745880, 579477, 608374, 808801, 838134, 908483, 676211, 941554, 523401]",Object9Property4
Object9,Property2,349248,"[692000, 651598, 940398, 540208, 548617, 893202, 644400, 981362, 710182, 749120]",Object9Property2
Object9,Property1,353915,"[830397, 604244, 557971, 613441, 967767, 906330, 925053, 857836, 848359, 751282]",Object9Property1
Object9,Property3,481191,"[682186, 764081, 964524, 718316, 719197, 790018, 666815, 503657, 918739, 801500]",Object9Property3
Object9,Property6,312252,"[809249, 611014, 884671, 742054, 748996, 707319, 962502, 751738, 920375, 656299]",Object9Property6
Object10,Property5,363700,"[891647, 507431, 744914, 891050, 709474, 654917, 506165, 540348, 656867, 873481]",Object10Property5
Object10,Property4,393141,"[696686, 589477, 946768, 912361, 814911, 582978, 860777, 585322, 887464, 579482]",Object10Property4
